Customer Review,text
Review 11,"We were greeted upon arrival by a nice man named Sonny, He assured us that we would be able to use the shuttle to and from the Houston International Quilt Festival. That was a load off our minds as 5 women trying to get a taxi might be a hard thing to do.
We had a wonderful continental breakfast consisting of bacon, sausage, scrambled eggs, hard boiled eggs, waffles, bagels, toast, Danish, fruit, yogurt, cereals, oatmeal, a juice bar with orange, grape apple and cranberry, They had 3 kinds of coffee, teas, and bottled water.What more could you ask for
Although the weather turned a little cold while we were there, the hot tub was a welcome comfort on tired, achy feet upon returning from the Quilt show.
The desk clerk Jo was helpful. One of our ladies had forgotten her prescription and John was nice enough to take us to a pharmacy to get it refilled.
The beds were awesome with 4 pillows, down comforters and sheets that were not only soft but smelled sooooooooo clean. We had bottled water and cookies left for us each day.
This hotel is very clean and I would recommend staying here to anyone."
Review 12,"This hotel is one of my favorites! The staff is first class and will help you with any needs, whether you forgot your shaving kit, need a restaurant recommendation or need a ride to a restaurant they are there to serve you.
When staying here make sure you get to know Sonny. Sonny has helped my business colleagues and me with dinner recommendations and then given us rides to the restaurants. 
This is a great hotel for business, is close to downtown and is in the area they call mid-town, which appears to be going through a bit of a renaissance. Many restaurants, bars, cafes, coffee shops etc near by. I will be staying here again."
Review 13,"This is by far the nicest Best Western I have ever been to while on vacation. My husband and I stayed here on a weekend get-away for his birthday. The woman working the front desk was super polite and helpful - she called us a cab and even made dinner reservations for us before our concert at the House of Blues! The service was much better then I thought we would get. The room was HUGE, super clean and very comfy. We got turn down service twice while we were there and found our mini bar restocked each time we came back to our room. When heading back to Houston, I will make it a point to book this hotel."
Review 14,I had to make a visit to Houston to see my brother who had a stroke. I came on a red eye trip 7am - so I was very tired. Jo ( front desk lady) let us check in early and let us get some breakfast. The rooms were so spacious. The hotel made us feel right at home. We will be back!!
Review 15,"I recently booked a room at this Hilton for just the day, as I was in town for business. The staff was so accommodating and friendly, both before and during the stay. They expected me by name and made me welcome. They were polite and helpful. The hotel was very nice, but I have to say I was most impressed with the hospitality of the staff. They were just outstanding!! I will definitely be recommending this hotel to everyone I know! I was raving about the hotel to everyone I knew as soon as I stepped out the door."
Review 16,"The Sherry is by far my most favorite hotel. My business takes me to New York often, and it's such a pleasure to always be spoiled rotten! From the flowers, chocolates, handwritten note of thanks from the manager, to porters bringing me some microwaved popcorn! This is old school service, I count the days for my next trip."
Review 17,"Good points – 1. excellent location (1minute walk to Central Park; close to shopping areas and the Met); 2. Spacious room (in NYC standard) with comfy bed and soft beddings; 3. Complimentary refreshments in room, which is a nice touch of the hotel.
Bad points – 1. The housekeeping staff took away one of my tops by mistake. People make mistakes sometimes so I was not too upset that it happened. I was unhappy as I had to explain the incident to the reception 3 times before someone actually acted upon it – very disappointing given it is supposed to be a 5-star hotel. The receptionist told me that housekeeping could not find the top but then it was later returned to my room with no note of apologies or explanation; 2. Hotel staff in general was polite and professional but some of them (esp. lift attendants) were too stiff – you just couldn’t have a chit chat with them – not very friendly; 3. There was some cigarette smell lingering for a couple of days. When we rang the reception, they said it was the smell of the cleaning liquid. (really? Seriously? Are you kidding me?!!); 4. Bathroom is bit old and dated. Took 10mins before hot water would come thru every evening.
The hotel staff recommended a diner called Gene’s on the 60th – absolute gem – must try. The hotel also offered 15% off if dine in “Bottega del Vino” next door. Please I beg you not to bother – the food was ok but all the waiters were so up themselves and arrogant and rude, which made the whole dining experience pretty awful. 
Most of the guests at the hotel seemed rather miserable and took themselves too seriously, maybe this is why staff were not very laid back. Gotta loosen up, people. (just my personal opinion)"
Review 18,"My buddy and I stayed at the Best Western during the Final Four. It's a couple of blocks from downtown Houston. However, the location turned out to be ideal as mid-town is also a couple of blocks in a different direction and it has a terrific collection of bars and restaurants. Sonny who works at the front desk will be happy to drive you to any of them.
The free breakfast was outstanding.
Jo (who really runs the place) could not have been a better host and made sure that all of our needs were met. They probably don't pay her enough given that she goes out of her way to make sure the guests are happy.
Bottom line: the hotel met our needs"
Review 19,"I stood 4 nights at this hotel with my mother (shopping trip).
Before booking a room for four nights at the Best Western Downtown Inn and Suites, I read some reviews about this and other hotels on the downtown zone (Doubletree, Marriot Courtyard, etc.) and I'm glad to say that all of the good comments that were written about BW are true.
The hotel is located right oustide the Houston downtown, but outside doesn't mean far. The few times I decided to walk to the downtown, a 15-minutes walk took me to the heart of it. If you aren't a walkiing person, the shuttle of the hotel will take you anywhere within the downtown area or even to the midtown if the distance isn't too far. 
The rooms are clean, spacious and very well equipped with an iron, a coffee maker, the basic bathroom amenities, satellital TV and as many bottles of water as you can drink. It also has a microwave and a small fridge, which makes your stay even more comfortable. Vending machines are avaiable to get microwave food and sodas whenever you want.
The best of the hotel is the staff: Jo, the front-desk lady is just lovely and helpful. Sonny (the multi-task guy of the business) is always ready to give you a ride on the shuttle or to recommend you the hot spots to hang out at night. There is a third front-desk guy called Don, that kindly took us to a Walgreen's like 20 blocks away from the hotel in his own car, as the shuttle only works from Monday to Friday. That was something nice I didn't expect.
The breakfast is simple but effective: waffles, sweet bread, cereal, milk, coffee, eggs, sausages and bacon. They serve the same breakfast everyday, so try to ""rotate"" your choices if you are staying more than one night and you don't like to have the same everyday.
The hotel is totally non-smoking. If you are a nicotine addict, DON'T DO IT INSIDE the rooms. During our stay, we saw two guys being kindly kicked out of the hotel after paying a $ 250.00 fine for smoking inside.
The only thing I didn't like were the pillows. They were too large and squishy and it's the only kind of pillows they have, so if you are a ""firm"" pillows user like me, you will have to bring yours. 
In conclusion, if I ever visit Houston again, I will stay here for sure."
Review 20,"I love this simple hotel! Sparkling clean with extrodinarily comfortable beds tucked into spacious rooms. 
It clings to the outskirts of down town and offers free shuttles for the out and about. The staff is efficient and carrying...they fussed more than I did when I thought I lost my phone. 
 The entire hotel is a non-smoking oasis."
Review 21,"This was our second trip to the Sherry. We were there in October and again this month. The ambiance is Old World style as you are greeted by the doorman, the front desk staff and the ever so courteous elevator assistants. Our rooms overlooking Central Park South...couldn't be more better for ""city watching"". Shopping, dining and entertainment are steps away and being an Apple aficionado, having the flagship Apple store right next door couldn't get any better! The rooms are spacious and well appointed. Every request from room service to UPS delivery of an over-night package was handled with finesse. The Sherry will always be my favorite place to stay in New York!"
Review 22,"I brought my 84 year old mother to New York last week for a birthday treat of shopping, dining, etc. We absolutely loved our stay here, start to finish. The reservations agent, Miss Julie, was extremely pleasant & helpful. Our room was gorgeous, clean, fresh flowers & candy, and the bed was to die for ( I wanted to order one). They offer a 20% discount to those guests who choose to dine at Harry Cipriani's, a nice bonus. Of couse, the location of the Sherry Nethrland is excellent, close to great shopping & restaurants. This comes in handy in any kind of inclement weather.
The hiring process must be rigorous as every member of the staff we encountered was unfailingly courteous and professional. It was like walking back in time to the 'good old days' when people took their jobs seriously and wanted to provide guests truly excellent service.
We will be back, but perhaps I'll go there with my husband next time as it a cozy, romantic place too.
MH"
Review 23,"The hote is immaculate! Rooms are very clean and the beds are so comfortable with down comforters and pillows. Every morning, we were greeted with a delicious breakfast bar filled with scrambled eggs, sausage, bacon, waffles, bagels, fruit, coffee, juice, cold cereal, hot cereal, and more--it was wonderful! Plus, we had free bottled water available to us at all times and they have a happy hour at 5pm where we would start our evening with a few glasses of wine and snacks. The staff was personable and helpful. We especially got to know Sonny--he's the man to see when in Houston. He recommended 3 restaurants to us and they were all outstanding. I had the best steak I've ever had and Sonny pointed the way! He drove the shuttle van and took us where we need to go. Our other colleagues stayed at the Hilton, Hyatt, and Crowne Plaza. Little 'ole Best Western had them all beat!!! Our stay cost about 1/3 less and we had all the great perks!! One colleague commented that her bottled water was $3.50 at the Hilton. I cannot rave enough about this hotel. I will be returning to Houston for another conference in the future and will stay at the Best Western."
Review 24,"My wife and I went to NYC for our anniversary and stayed at the Sherry Netherland. 
The good...The location is outstanding (5th Ave and 59th Street across from the horse carriage stand at Central Park). Central to everything. The staff is excellent, attentive, polite, includign the white-gloved elevator operators.
The bad...The much-raved-about Cipriani's restaurant was poor at best. Breakfast was blindingly expensive. The food was sub-par. The wait staff was slow and inattentive.
The ugly...""Courtyard view"" ??? Really ??? Look at the attached photo and make up your own mind.
For the world-class price they charge, the Sherry Netherland needs to up their game to compete favorably against other world-class hotels."
Review 25,"It is a hotel experience like this that makes you want to visit New York. A perfect location, combined with expansive rooms, wonderful service, and a beautiful view of Central Park will bring us back again soon. A last minute dinner, arranged quickly and courteously by Cipriani next door, made it a perfect stay for us. k and b, Boston"
Review 26,"As long as you your dealings keep you west of the 610 loop, this is a great option - near the new City Centre complex, between routes 8 and 6, near the major oil companies, and surrounded by various dining options, though very limited entertainment or culture in the area. Very clean - new feel - ample parking (free) - and priced right. 
Highly recommend it."
Review 27,"There is a downside to Tripadvisor that shows its face occasionally - a self fulfilling prophecy, here's how it works.......................
An average hotel / service / (whatever) gets some good reviews and the Manager responds to the reviews with kind words to the reviewer and more follow, the hotel climbs the popularity ladder and then people start to choose it because its near the top. To get in on the 'love fest' action they then also write good reviews and get fawned on by the management etc etc etc even though its in relaity no better than other similar products.
Suprisingly the one ""I don't get it"" review gets no management response - so this perfectly adequate hotel becomes the 4th best in Houston - really ????? This is a sub-brand chain hotel in office central, how can that be ?
I have stayed here quite a few times as well as the Courtyard Marriot just across the way - I like the HGI slightly more, the Courtyard is marginally less nice overall but it is 194 in the ranking which would make this HGI just above that so here's and honest review of this hotel - stayed here 3 nights this week.
Check-in - friendly enough but nothing special no welcome back etc, interestingly some colleagues didn't get the free breakfast coupons that come with our company rate here - arguements ensued and end result they didn't get them apparently because they had booked through an agent ...........just as I had and received them - get it sorted guys !
Rooms - nice enough but a bit dated, really think these chains should have central air con, hate the noisy wall / window units
Cleanliness - had a good look round as others have waxed lyrical, clean enough I suppose but lots of corners not vacumed, same in bathroom so pretty average.
Bed - really like these adjustable ones
Toiletries replaced sometimes
Wireless - really slow in higher rooms, spoke to reception to see if anything could be done and the answer was its working ok
Food - absolutley average, really nothing great to write home about, usually choose to eat out for that reason
Breakfast - didn't bother to use my vouchers as last time cooked was very greasy so has put me off
Check-in staff general - always felt I was breaking in on some gossip as I passed and it went quiet a couple of times, no friendly hello's etc - pretty poor really.
So, all in all a really average hotel that thinks its one of the top ones in Houston and clearly isn't - can we have some more honest and realistic reviews on here please to stop this kind of thing from happening and maybe some consideration of what can actually be done better by management so they actually try."
Review 28,"Very clean, very comfortable, great price . . . I will stay there again for sure."
Review 29,"I had read the other reviews when selecting this hotel, but once I got there, I couldn't figure out what the big deal was. Sure, it was clean, and yes, it was quiet, but the food wasn't all that great. As far as toiletries go, just average. Service was fine. When they couldn't book me into the room I had requested, I received a free breakfast voucher. Overall, it was fine, but I wouldn't go out of my way to stay here and probably won't again."
Review 30,"Great location,great staff,amazing rooms and bathrooms, quiet with no noise at all, all in all brilliant. One of the best value rooms for location,service,comfort(the beds were excellent),service etc etc
Located just on 5th Avenue opposite Central park and a block away from the Apple store and FAO Swchartz , but very quiet. All of the staff were excellent and it really felt like a home from home. Small but nice touches included free soft drinks and water in the mini bar, with fresh flowers and chocolates.
A great stay and we will definitely return"
Review 31,"Good location close to Central park and in easy walking distance of most attractions. We were upgraded to a beautiful suite overlooking Central park,which helped to make our stay special.Warm welcome,friendly staff and good service. The only downside was the small lobby with no ""common area"" where you could easily get a drink or cup of coffee. The restaurant (Harry Cipriani's) which was attached to the hotel was a bit fromal and stuffy if you just wanted a cool drink,as we did in the recent heat wave- no shorts allowed,not even late afternoon before dining starts.Other than that, lovely stay."
Review 32,"Our stay at the Sherry (Sept. 17-20) was wonderful. The hotel is steps away from Central Park, FAO, and Bergdorffs. The staff is knowledgeable and friendly. Any request was immediately taken care of. The rooms are larger than the average NYC hotel. The restaurant and bar are well worth the visit. We felt as if we were a guest at a fabulous home instead of a hotel. Warm and welcoming! Stocked mini bar in the room and umbrellas for the rainy days.
The beds were very comfortable.
We will be back."
Review 33,"We were fortunate to have a beautiful suite on the 20th floor. Traditional in design, the room was very comfortable and luxurious. The service was excellent. I would definitely recommend it to others. This was a business trip for my husband and his partners, but the wives tagged along for the shopping and theatre! So it was business and pleasure."
Review 34,"The room was gorgeous, beautifully decorated, the service was excellent, the view from the window remarkable, the localization excellent. I do recommend staying at the Sherry Netherland Hotel if you go to New York."
Review 35,"I just got back from my Labor Day weekend at The Sherry and will go again in a heart-beat when the next special comes along. 
I like the challenge of finding 5-star deals on a budget. When I also manage to get the same exceptional service and attention as those who can easily afford such luxury, it's a very rare combination indeed. But the Sherry hit a home run on both counts and I think that I've found my special go-to place to stay. From the youngest to the oldest employee, from the early morning/late night front desk staff to every single elevator captain and bellop, ALL were unfailingly polite and cheerful! You really get the sense that they love their jobs and they are super happy to serve. Each time my mother and I came through the door, I felt as though we were truly welcomed ""home"". In fact, it got to be nothing to just hang out in the lobby and get the best tips on where to shop or get the best coffee and brunch. I am serious...this staff can give the top hotels in NYC some lessons in true hospitality.
Room 211, which I think was a wonderful upgrade on their part, is fit for any special occasion. Spacious, beautifully appointed with a big screen TV and a gazillion cable stations, a wonderful large bathroom, lots of light , and a birds-eye view of the CBS Early Show studio....not to mention a corner of the famous corner anchored by The Plaza Hotel. There were times when we just felt like ""staying put"", but we didn't miss out on the buzz of the city. It was right outside to see!
Want to get away quick? The subway stop is right around the corner of the hotel. You can be in Union Square (HUGE Filene's and Whole Foods Market) in less than 25-minutes. Feel like you need to commit to an East Side -vs-West Side experience? Don't bother. You can do both without much effort with cabs and cross-town buses all around -- not to mention horse drawn carriages. An escape to the more magical? Famous Central Park, which can seem postively other-worldly in the quiet morning sunlight, is steps aways.
When in NYC, we usually stay at The Casablanca, The Elysee, and The Lucerne. Each has a lot to recommend it. But I honestly have to say that I am going to take time to check out the Sherry first before I look elsewhere from now on. If you really want to kick your NYC experience up a notch, you should too. You'll be really glad that you did!"
Review 36,"With its wonderful location off Central Park, this very traditionally elegant hotel has a lot to offer. Be careful about room selection, the variation is greater than most hotels. Staff is efficient if slightly stiff. Pricey but probably worth it."
Review 37,"Amazing personal service, they make you feel right at home"
Review 38,"Hotels always good on their websites, but this hotel exceeded our expectations. 
1) Set back from the main road....it felt very private and peaceful.
2) Outdoor area/parking lot always very well lit
3) Clean...and I mean really clean....bathroom, linens, rugs, furnishings....immaculate for this very picky traveler. 
4) Beautiful lobby and decor......I even took pictures of it. Warm, welcoming, big fireplace...
5) Staff deserves 10 Gold Stars...everyone very kind, warm, helpful. Hilton better hold onto this group of stellar employees. 
6) Super hot (as in temp.) coffee....from convenient caraffes in the hall at 6 a.m during the week. (We were on 7th floor). Excellent coffee from the Buffet Breakfast. 
7) Fresh, tasty and convenient Buffet Breakfast....made to order omeletes, sausage, bacon, bisquits w/ gravey, fresh fruits. every kind of bread/muffin/toast you can imagine. Beautiful dining area. 
8) Free Shuttle........Vallerie helped me out in a pinch and drove me to my designation (and picked me up) with a simple phone call. 
9) Pantry Pavillion....24/7 pantry if you need any last minute items (I needed pistachios and chocolate). 
10) Fresh baked and wrapped cookies for guests. 
11) Large desk area w/ perfect Internet connection."
Review 39,"This was our family's 4th stay at The Sherry-Netherland. We absolutely love it. Perfect location, updated rooms, great beds, incredibly clean, marble finishes in the bathrooms, flatscreen TVs, tons of bathroom amenities, etc. Our kids are made to feel welcome, each received a personalized gift bag with goodies inside. These are the little things that show the staff really cares. I can't praise this hotel and its staff enough. We will be back."
Review 40,"Went there for our 10th wedding anniversary and were completely taken aback by the staff and hotel. I've never in my life seen such quality service. You are made to feel as if you own the whole hotel. Everywhere you go, you are greeted with smiles and friendly comments. If you want a truly amazing experience and many wonderful memories and are going to NYC, put this hotel at the top of your list. Thank you to all the staff @ the Sherry ...there are too many of you to name specifically, but you were all awesome !! We'll be back ASAP."
Review 41,"Wow-I really enjoyed this Hilton Garden Inn because the rooms, bar, food, and service was impeccable. LaLa was a big help and provided excellent customer service. This was another business trip for me and I would recommend it to any business traveller or vacationer."
Review 42,"Handy for Westlake with very friendly pick-up service from Westlake. For those without hire car, the hotel has a bar and restaurant serving nice food."
Review 43,"Brought two soccer teams here to stay for the weekend for a tournament. The hotel staff was outstanding from minute one and never once dropped the ball. Had stayed here once before and had a good experience so chose this hotel again for that reason. The property is beautiful, kept immaculately clean and very well appointed. The staff is outstanding and the level of service is better than many larger or competitor properties that I have stayed in. Rooms are comfortable, have microwaves, refrigerators and coffee in the rooms. Nice fitness center and even a guest laundry. Good location and easy access to the highway and the businesses in the area. I will stay here again and again anytime I am in the area."
Review 44,"I was greeted at the front desk by a sweet woman named La-La. In fact she spoke to me each time I passed through after checking in! I was very impressed with the cleanliness and comfort of my room and bathroom. 
The breakfast ranks up there with some of the top hotel breakfasts I've ever eaten. So many selections! I selected your hotel for 4 reasons: Location, price, trip-advisor reviews and responses from your general manager. 
I wish I had another excuse to visit Houston so I could stay here again!"
Review 45,"I had a very nice stay at the hotel. The room and service were exceptional. The staff are all very pleasant and helpful. The hotel is well maintained, clean and comfortable. I will certainly be back and I recommend to others."
Review 46,"Relatively new, good fitness center, excellent staff, very nice lobby, nice little pool with a neat little waterfall, clean and very comfortable room, good desk, good internet access (surprisingly good for a hotel!) Everything worked!"
Review 47,"The staff made my weekly stays at the hotel for the past 6 months so enjoyable. I always felt at home and very comfortable there. They did an amazing job at making me feel very welcome. My company decided to put me and a few of my coworkers up in a nearby apartment complex to cut down on costs, but I will definitely miss staying at HGI, and of course the rubber duckies that always greeted me when I got to my room."
Review 48,"We held the Annual Meeting for our organization at Hilton Garden Inn - Houston Energy Corridor last week. I'm new to setting up meetings and don't know what I'm doing yet. To a person, the people at this HGI are simply outstanding! Marcia Burt is the Sales Director and helped me to cover the things I forgot. Jennifer Dennis is Catering Manager and she helped me pick out all of the meals, lined up all of the AV stuff, and all of the details.
And then there's Marco... I think Marco's title must be ""Mr. Everything Else"". You will rarely find a person with such a 'can-do' attitude. He set up the sound system and projectors. He ran the kitchen and made sure that the meals were on time. The food that came out of that small kitchen was just OUTSTANDING! I fouled up a few things, but never managed to stump him. He took it all in stride and helped to make our meeting a great success. All of his people were great too! Always around, solicitous, but unobtrusive.
Thanks Guys! But I'm afraid you've fouled us up in one way... From now on when I go to a hotel to set up a meeting, my expectations are going to be way too high!"
Review 49,"A GLOWING REVIEW: Hilton Garden Inn, Energy Corridor.....AMAZING!!!! From the moment I stepped into the hotel, greeted by Debbie Bunn, it was a wonderful experience! ALL the family and friends stayed at the hotel. The Rehearsal Dinner and Cocktail Hour before were perfection! YIPPPEEEE! A business that KNOWS their business and does it to....yep! Perfection!!!! More to say about the Hilton Garden Inn......I delivered 22 baskets to the hotel on Wednesday before the wedding. Family and friends began arriving on Thursday and would arrive all the way through to Saturday afternoon. Each and every person received their basket at check-in AND received the correct basket. (Each basket was made for each family in mind.) We're off to a great start! Then, following my dad's birthday celebration at Texas Land and Cattle (already heard that story, did ya?).....we all went back to the hotel and we took over the bar area, stayed around past the time the bar was to close and the bartender told us...no problem! No Problem....I'm sorry, I am just not used to that selfless, customer service oriented behavior....AMAZING!!!!! 
Friday....family and friends still arriving...hotel handling everything smoothly. Shuttle took family and friends to the mall and picked them up again....and was prompt! I arrived at 3:00 to begin decorating the hall. Jennifer is the event planner for the hotel. Another ""Can Do"" person. How could there possibly be that many GOOD people in one place? The room was set up, Marco was there to run everywhere around the hotel for me, finding everything that I requested....HE should be the CEO of Hilton! That guy is over the top! The room was super fun with all the Texas decorations, and the details were all taken care of by Jennifer, Marco and the hotel staff. The cocktail hour was a hit and the appetizers were excellent! They even set up our own little bar! The Barbeque and all the fixins' were superb! People were still talking about it on Saturday! We finally ""let"" Marco and the waitstaff go home about 10:30. They never complained! Just said it was a wonderful event! THE ENTIRE NIGHT AMAZING!!!! THEY WERE AMAZING!!! Once again, we all stayed at the hotel bar area and the lounge area for a while longer. Did the bartender complain? Nope! Sure didn't! What is this hotel feeding its staff? Happiness, Loyalty, Appreciation? Maybe....just maybe.....what a novel idea! Saturday night....Wedding is over, all is well at the hotel. Everyone is resting, including my hubby and myself. They comped us a room for Friday and Saturday night, so if we wanted to be with family, we could. Really? Giving us something for nothing....noooooo way! WAY!!!!!!! We got up on Sunday morning, met everyone for breakfast. They gave us the back area, so that we could all be together and then we all broke bread together as family. It was a wonderful ending to a wonderful weekend. I truly am almost in tears thinking about and writing about ""our"" wonderful hotel. They joined my family that weekend. They were as happy and excited for us, as we were. From the bottom of my heart, I thank you Hilton. God's blessings upon each and everyone of you, and much, much success always. YOU DESERVE IT!!!!"
Review 50,"We have been planning for this trip a long time, first time for my children to to New York!!, I have three boys, ages 7, 11, and 14, picking them up from Camp in upstate New York. We stayed for 13 nights!! can you imagine?
Where do I start........everything was truly exceptional, the rooms that we where assigned to...perfect one bedroom suite with a sofa bed on the other room, a kitchenette that saved us a bunch of expenses by having cereal or a sandwich now and then, and also feeling like residents a bit. In front of our suite, a room for my other two boys, also perfect, the decoration, very clean and luxurious..........and the beds are the most cozy and confortable beds we have ever experienced in any hotel, and we have been all over the world. The staff, how we felt welcomed with gifts for our kids, sodas and water for free every day and the amazing service worth mentioning Tammy at the front desk, she is the best!! and Kristina Kinet, Thank you for everything!!!"
Review 51,"I had the pleasure of staying at the Sherry-Netherland for one night only which was such a shame as it is brilliant.
On my arrival I was ever so nicely greeted and looked after by the front desk. 
My room was 1111 and I can honestly say that when I entered it my jaw hit the floor. It is massive. The lounge is big and can certainly be used to host a drink reception. There is a kitchen area, small but does the job.
The bedroom was big as well and the bed ................ one of the most comfortable I have ever slept on, especially the pillows. As soft as anything.
The location is great on 5th Avenue, at the south end of Central Park and north end of the shops. 
Would I stay there again . Absolutely."
Review 52,"This is the way it must have been for my mom in New York City in the '50's...like visiting your dowager aunt living quietly in elegance on the Upper East Side. Today, it's mostly a residence with fifty or so rooms available. Ours was a suite on the tenth floor, loads of space, a deco bathroom, a kitchenette filled with complimentary soft drinks (a lovely touch)...my daughter left a note saying ""I (loveheart) this hotel"" which just about sums up our visit. A particular pleasure was our interchanges with the elevator operators...of course we could have pushed the buttons ourselves, but how enjoyable to have a real person watching out for you. We also loved the back entrance to Cipriani's...we felt very sophisticated sitting at the four seat bar having a Martini (ask for a ""Hemingway""). The Sherry isn't the newest or coolest midtown hotel, but it continues to deliver an elegance of another time...an experience you'll surely enjoy."
Review 53,"We have been coming to New York City since I was a little boy, and I know all of the finest hotels in the city very well. I am now in my sixties, and there is no other hotel I would stay at in the city besides the Sherry. The rooms are beautiful, the location is the best, the staff is genuinely caring, they are like a family. And it is truly a value, not a rip-off like most other hotels in the city."
Review 54,"I have been to midtown Manhattan many times and have stayed in a variety of hotels. This place has been the best. Nice, quiet hotel near Central Park...not noisy like the hotels near Times Square. Never had to wait for an elevator. The place has white gloved elevator operators! Rooms are nice and big and super clean. Right across the street from the Plaza if you are in the mood for some drinks. Within walking distance of everything. Will stay here again...just loved it!"
Review 55,"Took my wife to NYC for her 50th b-day. The hotel is beautiful inside and the decor in rooms etc. made us feel as if we went back in time to the early 1900's but with modern amenities. Very ornate lobby and elevators (real live elevator operators) Great location at Central Park and within a 10 to 15 minute walk to Time Square and Broadway shows. We have stayed near Time Square in the past but wanted something less crazy and this place met our expectations. Also a short walk to Metropolitan Museum and You can pick up hop on hop off sightseeing buses, take carriage ride a block away from hotel. So for us it was convenient near attractions and less hectic than other parts of the city. We got a great price break and paid for three nights and got third for free. It is hard to find an inexpensive luxury hotel in this area. This hotel also has upscale residences in it."
